COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,LOCALITY,SITE,LOCALITY ID,LATITUDE,LONGITUDE,TIMELINE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,TRIP COMMENTS,SPECIES COMMENTS
Bananaquit,Coereba flaveola,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Cattle Egret,Bubulcus ibis,,,13,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,"Very familiar with this bird during migration in Michigan.large, ground walking warbler. Bobbing its tail constantly. Dark olive upper parts with yellow under parts with dark, heavy streaks. Bird was found in mangrove swamp.  We played tape, just one time, and the bird reacted very aggressively. Very thick yellowish supercilium. Unable to photograph."
Common Gallinule,Gallinula galeata,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Cattle Egret,Bubulcus ibis,,,13,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Pied-billed Grebe,Podilymbus podiceps,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Broad-winged Hawk,Buteo platypterus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Smooth-billed Ani,Crotophaga ani,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Bananaquit,Coereba flaveola,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Spectacled Thrush,Turdus nudigenis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Broad-winged Hawk,Buteo platypterus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Common Gallinule,Gallinula galeata,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Spectacled Thrush,Turdus nudigenis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Pied-billed Grebe,Podilymbus podiceps,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Smooth-billed Ani,Crotophaga ani,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Mangrove Cuckoo,Coccyzus minor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,"Very familiar with this bird during migration in Michigan.large, ground walking warbler. Bobbing its tail constantly. Dark olive upper parts with yellow under parts with dark, heavy streaks. Bird was found in mangrove swamp.  We played tape, just one time, and the bird reacted very aggressively. Very thick yellowish supercilium. Unable to photograph."
Mangrove Cuckoo,Coccyzus minor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Brown Pelican,Pelecanus occidentalis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Laughing Gull,Leucophaeus atricilla,,,7,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Semipalmated Plover,Charadrius semipalmatus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Zenaida Dove,Zenaida aurita,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Green Heron,Butorides virescens,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Spotted Sandpiper,Actitis macularius,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Tropical Mockingbird,Mimus gilvus,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Spectacled Thrush,Turdus nudigenis,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Gray Kingbird,Tyrannus dominicensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Gray-rumped Swift,Chaetura cinereiventris,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Pied-billed Grebe,Podilymbus podiceps,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Bananaquit,Coereba flaveola,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Green Heron,Butorides virescens,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Tropical Mockingbird,Mimus gilvus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Black-crowned Night-Heron,Nycticorax nycticorax,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,Seen on far side of pond across from tower. All obviously without white cheek stripe of Yellow-crowned.
Tricolored Heron,Egretta tricolor,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Laughing Gull,Leucophaeus atricilla,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Osprey,Pandion haliaetus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Tricolored Heron,Egretta tricolor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Common Gallinule,Gallinula galeata,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
House Wren,Troglodytes aedon,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Tropical Mockingbird,Mimus gilvus,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Pied-billed Grebe,Podilymbus podiceps,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Smooth-billed Ani,Crotophaga ani,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Carib Grackle,Quiscalus lugubris,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Bananaquit,Coereba flaveola,,,17,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Green Heron,Butorides virescens,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Mangrove Cuckoo,Coccyzus minor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Gray Kingbird,Tyrannus dominicensis,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Antillean Crested Hummingbird,Orthorhyncus cristatus,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Caribbean Martin,Progne dominicensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Yellow-crowned Night-Heron,Nyctanassa violacea,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Spectacled Thrush,Turdus nudigenis,,,10,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Common Ground Dove,Columbina passerina,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Yellow-bellied Elaenia,Elaenia flavogaster,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach Mangroves,LEV,L6281985,12.2241274,-61.6096437,pre,19/09/2017,7:55:00,obsr173215,Traveling,20,0,2,0,Alice Davey spotted the waterthrush scooting along a fallen log above the water,N. Waterthrush feeding along fallen wood near waters edge.  Found along path heading Souththrough Mangroves  from Levera Beach.  Was observed within 10 feet of us for a few minutes.
Cattle Egret,Bubulcus ibis,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Caribbean Martin,Progne dominicensis,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Yellow-bellied Elaenia,Elaenia flavogaster,,,5,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Yellow-bellied Seedeater,Sporophila nigricollis,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,"3 singing males: 1 near pond, 2 near resort clubhouse"
Hook-billed Kite,Chondrohierax uncinatus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,Perched in tree along track.
Spotted Sandpiper,Actitis macularius,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Carib Grackle,Quiscalus lugubris,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Barn Swallow,Hirundo rustica,,,22,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,Seems to be a recent influx of hirudines
Pied-billed Grebe,Podilymbus podiceps,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Smooth-billed Ani,Crotophaga ani,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Mangrove Cuckoo,Coccyzus minor,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Osprey,Pandion haliaetus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,Perched in tree over Mangrove Lake
Common Ground Dove,Columbina passerina,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,"Heard calling, unseen."
Tropical Mockingbird,Mimus gilvus,,,7,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Gray Kingbird,Tyrannus dominicensis,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Bananaquit,Coereba flaveola,,,13,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,"10 dark phase, 2 yellow phase"
Common Gallinule,Gallinula galeata,,,5,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Black-faced Grassquit,Melanospiza bicolor,,,7,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Spectacled Thrush,Turdus nudigenis,,,7,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
House Wren,Troglodytes aedon,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Blue-black Grassquit,Volatinia jacarina,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,Male displaying to female near clubhouse garden. Another male in field next to Levera Pond
Scaly-naped Pigeon,Patagioenas squamosa,,,20,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Antillean Crested Hummingbird,Orthorhyncus cristatus,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Eared Dove,Zenaida auriculata,,,10,,Grenada,GD,Saint Patrick,GD-06,Levera Pond and unfinished resort,LEV,L6282066,12.2162708,-61.612637,pre,19/09/2017,6:30:00,obsr173215,Traveling,60,2,2,1,Birding walk following the passing by of Hurricane Maria to the North.,
Grenada Flycatcher,Myiarchus nugator,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Green Heron,Butorides virescens,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
House Wren,Troglodytes aedon,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Black-whiskered Vireo,Vireo altiloquus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,Brown with creamish dark-streaked underparts. Almost mistaken for a spotted sandpiper because of the tail bobbing.
Spectacled Thrush,Turdus nudigenis,,,5,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Little Blue Heron,Egretta caerulea,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Tricolored Heron,Egretta tricolor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Antillean Crested Hummingbird,Orthorhyncus cristatus,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Scaly-naped Pigeon,Patagioenas squamosa,,,12,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Bananaquit,Coereba flaveola,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera mangrove,LEV,L6690500,12.2200932,-61.6103089,pre,08/01/2018,10:00:00,obsr948624,Traveling,30,0.2,3,1,,
Broad-winged Hawk,Buteo platypterus,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Osprey,Pandion haliaetus,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Snowy Egret,Egretta thula,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Little Blue Heron,Egretta caerulea,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Scaly-naped Pigeon,Patagioenas squamosa,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Green Heron,Butorides virescens,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Common Gallinule,Gallinula galeata,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Pied-billed Grebe,Podilymbus podiceps,,,5,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
American Coot,Fulica americana,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,easily identified by their white sheild
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,identified both by sight and by its call.
Great Blue Heron,Ardea herodias,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,07/02/2018,8:00:00,obsr948624,Stationary,30,,1,1,,
